Type,Square,Floor,Metro,Price
1,36.07,9,1,18641985
1,30.62,3,1,9399999
1,45.69,3,1,13900000
1,34.84,11,1,6043914
3,65.77,1,1,11307171
2,56.6,3,1,12935845
2,59.28,2,1,11119546
2,57.46,1,1,10559430
3,71.1,1,1,12482869
1,38.3,1,1,8063111
0,21.68,1,1,4501000
1,31.35,1,1,6248272
2,48.87,10,1,6908458
1,39.45,2,1,6901780
3,64.05,9,1,8126439
2,51.72,2,1,9608067
1,32.9,1,1,6381281
2,61.73,9,1,12593000
3,96.5,2,1,18521000
4,120.85,2,1,22549000
2,65.47,2,1,12832000
1,50.95,2,1,9714000
3,83.1,2,1,15783000
3,76.3,20,1,18409740
0,24.51,7,1,4535377
0,21.13,4,1,3309670
0,26.24,6,1,6416000
0,28.73,3,1,7024000
2,64.83,18,1,13355000
2,56.72,13,1,12687000
1,41.16,17,1,9211000
1,47.21,8,1,9691000
2,51.97,14,1,11625000
1,47.21,7,1,9691000
2,55.27,9,1,12363000
2,66.19,10,1,14320000
1,32.25,2,1,4512226
1,41.81,20,1,9539000
1,41.81,12,1,9352000
1,32.5,17,1,7853000
2,64.83,11,1,13225000
1,41.81,16,1,9352000
1,47.21,16,1,9885000
2,65.67,16,1,13265000
2,56.43,18,1,12746000
2,65.07,13,1,13938000
2,64.48,18,1,13154000
1,41.81,13,1,9444000
2,52.11,17,1,11771000
2,65.67,4,1,13134000
1,39.66,8,1,8778000
1,47.64,7,1,10338000
1,40.92,10,1,9196000
1,40.92,15,1,9015000
2,52.11,13,1,11656000
3,89.3,16,1,20998000
3,89.22,10,1,20384000
2,56.73,7,1,12565000
1,47.64,13,1,10338000
2,56.43,10,1,13045000
2,52.11,9,1,11656000
1,47.21,6,1,9691000
3,87.54,9,1,19224000
3,87.54,4,1,19224000
1,40.92,10,1,9015000
1,40.92,19,1,9196000
2,66.76,13,1,13619000
1,41.99,2,1,8479000
1,41.81,10,1,9352000
3,84.55,16,1,16714000
1,47.64,10,1,10338000
3,87.94,2,1,18925000
2,52.11,8,1,11656000
2,56.43,14,1,12623000
2,51.97,12,1,11625000
2,56.43,11,1,12623000
3,87.55,13,1,19610000
3,89.22,7,1,19985000
2,52.11,8,1,12047000
1,47.64,4,1,10338000
1,40.92,5,1,9015000
1,41.81,17,1,9444000
1,39.9,7,1,12688474
1,40.92,14,1,9196000
2,56.43,15,1,12623000
3,84.55,17,1,16714000
1,41.81,18,1,9539000
3,96.19,17,1,19599000
2,56.43,13,1,13045000
1,43.84,10,1,9668000
2,56.43,12,1,12623000
2,52.11,11,1,11656000
2,61.73,16,1,12716000
2,56.43,16,1,12746000
1,40.92,18,1,9196000
3,87.55,16,1,20003000
1,41.81,19,1,9435000
1,41.81,11,1,9717000
1,41.0,17,1,9268000
2,56.43,17,1,12746000
2,56.43,14,1,12623000
1,47.21,11,1,9885000
1,41.01,17,1,9270000
1,41.81,15,1,9539000
1,47.64,16,1,10545000
2,63.83,12,1,13021000
1,40.92,18,1,9286000
2,65.07,17,1,13404000
1,41.71,16,1,9428000
1,40.92,8,1,9015000
1,41.81,15,1,9435000
2,56.43,12,1,12623000
3,82.4,16,1,16289000
3,83.17,16,1,16441000
1,41.71,13,1,9352000
2,59.27,14,1,12333000
2,56.43,6,1,12790000
2,51.97,9,1,11625000
2,56.43,8,1,12623000
2,56.43,8,1,12623000
2,56.43,9,1,12623000
2,56.43,6,1,12375000
2,52.11,11,1,11656000
2,62.61,16,1,13156000
1,40.92,12,1,9196000
1,43.84,7,1,9668000
2,56.43,6,1,12375000
1,44.24,2,1,9561000
2,52.44,2,1,11270000
2,56.96,2,1,12242000
2,56.78,2,1,12203000
3,87.54,10,1,19608000
1,44.4,4,1,9791000
2,56.43,6,1,12375000
0,28.73,19,1,7165000
0,28.73,18,1,7165000
0,28.73,13,1,7165000
0,26.24,18,1,6544000
0,28.73,9,1,7024000
0,26.24,16,1,6544000
0,28.73,20,1,7165000
0,28.73,12,1,7165000
0,28.73,13,1,7165000
0,28.73,12,1,7165000
0,28.73,17,1,7165000
0,28.73,8,1,7024000
0,28.73,10,1,7165000
0,27.8,7,1,10542038
0,28.73,12,1,7024000
0,26.24,14,1,6416000
0,26.24,17,1,6544000
0,28.73,19,1,7165000
0,26.24,19,1,6544000
0,26.24,18,1,6544000
0,26.24,3,1,6416000
2,51.7,24,1,10423923
0,26.24,7,1,6416000
2,49.1,9,1,9802979
1,38.3,12,1,8095931
1,37.6,11,1,14074808
0,20.6,4,1,3200000
3,77.9,5,1,17549779
1,37.1,4,1,10110678
2,62.2,14,1,14593737
1,31.8,1,1,6799243
0,29.0,9,1,7966561
3,89.8,3,1,18575938
3,84.7,17,1,17937300
0,28.71,4,0,3724269
1,38.11,14,1,7772421
1,37.14,10,0,5304298
1,40.56,8,0,6588888
2,60.09,15,0,8291822
2,60.51,13,0,8317476
1,39.34,11,0,5534317
2,61.09,13,0,8344827
2,60.42,10,0,8290367
1,38.35,14,0,5436522
2,60.51,4,0,8317476
3,77.66,4,0,10451400
2,60.42,4,0,8290367
2,60.96,7,0,8344827
2,61.09,4,0,8344827
2,59.08,8,0,8191813
1,37.5,5,0,5372882
2,60.42,13,0,8290367
1,38.35,12,0,5436522
3,78.0,7,0,10499827
2,61.09,13,0,8344827
2,60.96,13,0,8344827
1,37.5,8,0,5372882
2,61.09,10,0,8344827
2,60.09,9,0,8291822
2,60.09,6,0,8291822
1,36.95,12,0,5274630
1,37.5,11,0,5372882
1,39.84,12,0,5584690
1,36.95,9,0,5274630
1,38.35,6,0,5436522
1,39.34,4,0,5534317
1,38.35,17,0,5436522
2,60.51,10,0,8317476
3,77.66,13,0,10451400
1,39.34,4,0,5534317
1,39.34,10,0,5534317
1,37.5,12,0,5380041
3,78.0,13,0,10499827
2,61.09,4,0,8344827
3,77.66,7,0,10451400
2,60.51,7,0,8317476
1,39.34,7,0,5534317
2,61.09,7,0,8344827
1,38.35,15,0,5436522
2,60.09,12,0,8291822
2,59.08,11,0,8191813
2,60.09,12,0,8291822
2,60.96,7,0,8344827
1,39.34,13,0,5534317
1,39.84,17,0,5584690
1,36.95,15,0,5274630
3,77.66,10,0,10451400
2,59.08,14,0,8191813
3,78.0,4,0,10499827
2,60.96,4,0,8344827
1,39.84,11,0,5584690
1,39.84,5,0,5584690
2,60.09,15,0,8291822
2,61.09,10,0,8344827
2,60.96,10,0,8344827
1,37.5,3,0,5380041
1,39.34,10,0,5534317
1,38.35,15,0,5436522
1,39.34,8,0,5534317
2,60.96,10,0,8344827
2,59.08,5,0,8191813
3,78.0,4,0,10530711
1,39.34,7,0,5534317
2,59.08,14,0,8215318
3,78.0,10,0,10499827
2,60.09,6,0,8291822
1,39.34,14,0,5534317
1,39.34,13,0,5534317
1,39.34,16,0,5534317
1,37.5,3,0,5473105
1,39.84,14,0,5584690
1,39.84,5,0,5584690
1,36.95,14,0,5274630
1,39.34,13,0,5534317
2,60.96,11,0,8344827
2,60.09,10,0,8291822
1,36.95,13,0,5281705
1,37.37,10,0,5357032
1,36.95,17,0,5274630
2,56.96,11,0,7953242
1,36.95,15,0,5274630
3,77.66,11,0,10451400
1,37.24,8,0,5287122
3,78.0,11,0,10530711
1,37.37,8,0,5385850
1,36.74,8,0,5239490
1,37.24,11,0,5287122
1,36.95,13,0,5274630
3,77.66,12,0,10451400
1,37.5,4,0,5357032
1,37.37,4,0,5385850
2,56.96,17,0,7953242
1,36.74,11,0,5246509
3,78.0,12,0,10530711
1,36.74,17,0,5239490
1,39.34,10,0,5534317
2,59.08,9,0,8215318
1,36.74,14,0,5239490
2,60.09,17,0,8291822
2,59.08,15,0,8215318
1,38.35,15,0,5436522
1,40.3,12,0,5811630
1,36.95,4,0,5274630
1,37.37,4,0,5357032
2,60.96,9,0,8344827
1,39.34,5,0,5534317
2,61.09,9,0,8344827
2,56.96,11,0,7953242
1,39.84,8,0,5584690
1,37.14,14,0,5304298
1,37.5,12,0,5357032
1,37.24,6,0,5287122
1,37.24,12,0,5287122
2,57.07,12,0,7966589
1,39.34,12,0,5534317
1,38.35,8,0,5436522
1,36.95,16,0,5274630
1,37.5,9,0,5357032
2,57.07,4,0,7966589
2,56.96,14,0,7953242
1,36.95,8,0,5274630
1,36.95,13,0,5274630
1,37.37,13,0,5371441
1,37.5,12,0,5372882
1,37.37,5,0,5385850
1,37.37,13,0,5385850
3,77.66,8,0,10451400
1,37.37,13,0,5357032
2,61.09,9,0,8344827
1,37.24,14,0,5287122
2,60.09,14,0,8291822
2,61.09,5,0,8344827
1,38.35,4,0,5436522
1,36.74,9,0,5239490
1,37.24,17,0,5287122
1,36.95,15,0,5274630
1,37.24,14,0,5287122
1,39.34,13,0,5534317
1,37.24,9,0,5287122
2,60.09,16,0,8291822
1,37.14,11,0,5304298
1,36.95,10,0,5274630
2,60.51,8,0,8317476
1,36.95,4,0,5281705
2,60.09,4,0,8291822
1,36.95,9,0,5274630
1,37.5,10,0,5357032
1,39.34,14,0,5534317
1,37.5,6,0,5357032
2,60.96,12,0,8344827
2,60.96,3,0,8344827
3,77.66,8,0,10451400
3,77.66,3,0,10451400
2,57.07,9,0,7966589
2,60.96,3,0,8344827
1,36.95,9,0,5274630
2,60.09,10,0,8291822
2,57.07,9,0,7977832
1,37.5,3,0,5501740
1,36.95,17,0,5274630
2,57.07,10,0,7966589
2,60.51,11,0,8317476
1,37.37,7,0,5385850
2,60.96,9,0,8344827
1,39.84,9,0,5584690
1,38.35,13,0,5436522
3,78.0,9,0,10499827
1,36.95,11,0,5274630
1,38.35,17,0,5436522
1,39.84,11,0,5584690
1,39.34,16,0,5534317
1,37.24,9,0,5287122
1,37.49,17,0,5335230
2,60.51,12,0,8317476
1,37.24,16,0,5287122
1,37.37,8,0,5357032
1,37.24,15,0,5287122
1,37.5,3,0,5357032
1,39.84,13,0,5584690
2,60.96,8,0,8344827
1,37.5,4,0,5372882
1,37.5,3,0,5357032
1,37.49,15,0,5335230
2,56.96,12,0,7953242
1,37.49,12,0,5335230
3,77.66,3,0,10451400
1,39.34,11,0,5534317
1,36.95,4,0,5274630
1,36.95,10,0,5274630
2,59.08,17,0,8285835
3,78.0,11,0,10499827
1,37.5,9,0,5357032
1,37.5,6,0,5357032
1,37.5,4,0,5357032
2,60.42,3,0,8290367
1,36.74,15,0,5246509
2,57.07,13,0,7966589
1,39.84,4,0,5584690
1,39.84,12,0,5584690
2,59.08,6,0,8191813
1,37.5,13,0,5357032
1,37.5,9,0,5357032
2,56.96,8,0,7953242
1,37.5,3,0,5372882
1,36.74,17,0,5239490
1,37.37,11,0,5357032
1,36.95,9,0,5274630
1,37.5,7,0,5357032
1,36.95,17,0,5281705
1,38.35,13,0,5451300
1,38.35,12,0,5436522
3,78.0,5,0,10499827
1,36.74,8,0,5232470
1,37.5,9,0,5357032
1,36.95,8,0,5274630
1,37.24,6,0,5287122
3,78.0,9,0,10530711
1,36.74,12,0,5239490
2,59.08,15,0,8191813
1,39.84,13,0,5584690
2,60.09,11,0,8291822
1,36.95,14,0,5274630
1,39.34,9,0,5534317
1,37.5,6,0,5357032
1,37.5,4,0,5357032
2,60.09,13,0,8291822
1,36.74,12,0,5246509
1,37.24,12,0,5287122
3,78.0,3,0,10530711
2,60.42,11,0,8290367
3,77.66,5,0,10451400
1,37.5,11,0,5380041
1,36.95,14,0,5274630
2,61.09,12,0,8344827
2,57.07,12,0,7977832
1,36.74,15,0,5232470
1,36.95,15,0,5274630
1,39.34,6,0,5534317
1,36.95,6,0,5274630
1,39.34,6,0,5534317
1,37.49,8,0,5335230
1,38.35,10,0,5451300
1,39.84,14,0,5584690
1,37.5,12,0,5357032
1,37.49,9,0,5335230
1,36.74,8,0,5246509
1,37.49,8,0,5335230
1,37.37,11,0,5371441
1,36.95,14,0,5274630
1,36.95,10,0,5274630
1,37.5,13,0,5380041
2,60.42,6,0,8290367
2,59.08,10,0,8191813
1,39.34,15,0,5534317
1,36.74,9,0,5239490
3,77.66,12,0,10451400
1,37.14,8,0,5304298
1,39.84,6,0,5584690
1,37.49,12,0,5335230
1,37.37,10,0,5371441
1,36.95,8,0,5274630
1,36.95,14,0,5274630
1,37.49,5,0,5335230
1,37.24,4,0,5287122
1,39.84,17,0,5584690
1,37.14,12,0,5304298
2,57.07,4,0,7977832
1,39.84,13,0,5584690
1,39.34,15,0,5534317
2,60.96,12,0,8344827
2,59.08,13,0,8215318
2,57.07,10,0,7977832
1,37.24,8,0,5287122
1,36.74,8,0,5239490
1,37.5,10,0,5357032
1,40.3,8,0,5811630
1,37.24,7,0,5287122
1,39.34,12,0,5534317
2,60.09,4,0,8291822
1,37.37,4,0,5357032
1,36.74,15,0,5239490
2,56.96,9,0,7953242
3,77.66,9,0,10451400
1,36.95,11,0,5281705
1,36.95,10,0,5281705
2,60.09,8,0,8291822
1,37.5,3,0,5357032
1,39.34,6,0,5534317
1,36.95,16,0,5281705
2,60.96,6,0,8344827
1,37.5,13,0,5357032
1,39.84,15,0,5584690
1,37.49,9,0,5335230
1,38.35,13,0,5436522
1,39.84,11,0,5584690
1,36.74,9,0,5232470
1,37.49,11,0,5335230
1,36.95,12,0,5274630
2,60.96,5,0,8344827
1,36.74,14,0,5246509
2,57.07,13,0,7977832
1,36.95,17,0,5274630
2,56.96,12,0,7953242
1,39.34,5,0,5534317
3,77.66,11,0,10451400
2,57.07,6,0,7966589
1,37.49,11,0,5335230
1,39.84,16,0,5584690
1,37.49,6,0,5335230
1,37.5,13,0,5357032
1,37.49,14,0,5335230
1,38.35,12,0,5451300
1,36.95,8,0,5274630
1,37.5,13,0,5473105
2,56.96,9,0,7953242
1,38.35,13,0,5436522
1,37.24,9,0,5287122
1,36.95,12,0,5274630
3,78.0,12,0,10499827
1,39.34,4,0,5534317
1,37.5,12,0,5357032
2,56.96,15,0,7953242
1,37.24,5,0,5287122
1,39.34,9,0,5534317
1,39.34,14,0,5534317
1,37.5,12,0,5357032
2,61.09,3,0,8344827
2,59.08,9,0,8191813
1,36.95,11,0,5274630
1,37.49,6,0,5335230
2,57.07,15,0,7977832
1,36.95,11,0,5274630
1,36.74,9,0,5246509
1,37.49,14,0,5335230
1,37.5,13,0,5357032
1,39.34,9,0,5534317
3,77.66,9,0,10451400
1,38.35,16,0,5436522
1,37.37,4,0,5371441
3,78.0,8,0,10530711
2,60.51,5,0,8317476
1,40.3,9,0,5811630
1,37.24,13,0,5287122
1,40.29,11,0,5654936
1,36.74,6,0,5246509
1,37.37,10,0,5357032
3,77.66,6,0,10451400
2,60.42,9,0,8290367
1,36.95,8,0,5274630
1,37.24,12,0,5287122
1,37.24,15,0,5287122
1,37.37,7,0,5357032
1,39.34,8,0,5534317
2,61.09,12,0,8344827
1,39.84,13,0,5584690
1,39.34,12,0,5534317
1,37.14,12,0,5304298
2,61.09,6,0,8344827
1,37.14,9,0,5304298
1,39.34,7,0,5534317
1,37.14,15,0,5304298
2,57.07,16,0,7977832
2,60.42,12,0,8314287
1,37.49,15,0,5335230
2,60.09,11,0,8291822
1,37.24,6,0,5287122
1,39.34,15,0,5534317
1,39.84,10,0,5584690
2,57.07,7,0,7966589
2,61.09,11,0,8344827
1,39.84,15,0,5584690
1,36.95,13,0,5274630
1,37.14,6,0,5304298
1,37.5,4,0,5357032
1,38.35,15,0,5451300
1,37.24,15,0,5287122
1,37.37,13,0,5357032
1,39.34,17,0,5534317
1,37.14,11,0,5304298
2,60.09,8,0,8291822
1,39.84,10,0,5584690
1,39.34,11,0,5534317
1,37.5,3,0,5357032
2,60.42,8,0,8290367
2,57.07,6,0,7977832
1,37.49,5,0,5335230
3,78.0,6,0,10499827
1,37.37,7,0,5371441
1,36.95,9,0,5274630
1,39.34,9,0,5534317
2,56.96,14,0,7953242
1,37.14,8,0,5304298
1,39.34,15,0,5534317
1,36.95,12,0,5274630
1,36.74,12,0,5239490
1,37.14,15,0,5304298
2,61.09,8,0,8344827
1,39.34,10,0,5534317
2,60.09,13,0,8291822
1,39.34,12,0,5534317
2,57.07,15,0,7966589
1,39.84,7,0,5584690
1,37.37,8,0,5371441
1,37.14,14,0,5304298
1,37.5,10,0,5357032
2,61.09,3,0,8344827
1,39.34,4,0,5534317
3,78.0,8,0,10499827
1,37.37,5,0,5357032
1,37.37,11,0,5357032
1,38.35,9,0,5451300
1,37.24,10,0,5287122
2,60.96,8,0,8344827
1,39.34,8,0,5534317
2,59.08,13,0,8191813
1,36.74,11,0,5239490
1,39.84,12,0,5584690
1,37.5,7,0,5357032
2,60.09,14,0,8291822
1,47.3,2,1,11646253
3,91.63,10,1,22737730
2,56.53,11,1,11683725
0,29.6,10,0,4232815
0,31.55,12,0,4595496
2,65.85,1,1,12458002
0,29.6,13,0,4232815
0,31.55,13,0,4487389
0,31.55,15,0,4487389
0,31.55,14,0,4509010
0,29.43,16,0,4232815
0,29.6,15,0,4232815
0,29.43,15,0,4232815
0,29.43,8,0,4232815
0,29.6,11,0,4232815
0,31.55,16,0,4454957
0,29.6,12,0,4324435
0,29.6,15,0,4232815
0,29.43,9,0,4232815
0,29.43,14,0,4232815
0,29.6,9,0,4232815
0,29.6,13,0,4232815
0,31.55,14,0,4454957
0,29.6,11,0,4324435
0,29.6,16,0,4232815
0,29.6,9,0,4232815
0,29.6,12,0,4232815
0,29.6,14,0,4232815
