Type,Square,Floor,Metro,Price
,,9,,
1.0,30.62,3,1.0,9399999.0
1.0,45.69,3,1.0,13900000.0
1.0,34.84,11,1.0,6043914.0
3.0,65.77,1,1.0,11307171.0
2.0,56.6,3,1.0,12935845.0
2.0,59.28,2,1.0,11119546.0
2.0,57.46,1,1.0,10559430.0
3.0,71.1,1,1.0,12482869.0
1.0,38.3,1,1.0,8063111.0
0.0,21.68,1,1.0,4501000.0
1.0,31.35,1,1.0,6248272.0
2.0,48.87,10,1.0,6908458.0
1.0,39.45,2,1.0,6901780.0
3.0,64.05,9,1.0,8126439.0
2.0,51.72,2,1.0,9608067.0
1.0,32.9,1,1.0,6381281.0
2.0,61.73,9,1.0,12593000.0
3.0,96.5,2,1.0,18521000.0
4.0,120.85,2,1.0,22549000.0
2.0,65.47,2,1.0,12832000.0
1.0,50.95,2,1.0,9714000.0
3.0,83.1,2,1.0,15783000.0
3.0,76.3,20,1.0,18409740.0
0.0,24.51,7,1.0,4535377.0
0.0,21.13,4,1.0,3309670.0
0.0,26.24,6,1.0,6416000.0
0.0,28.73,3,1.0,7024000.0
2.0,64.83,18,1.0,13355000.0
2.0,56.72,13,1.0,12687000.0
1.0,41.16,17,1.0,9211000.0
1.0,47.21,8,1.0,9691000.0
2.0,51.97,14,1.0,11625000.0
1.0,47.21,7,1.0,9691000.0
2.0,55.27,9,1.0,12363000.0
2.0,66.19,10,1.0,14320000.0
1.0,32.25,2,1.0,4512226.0
1.0,41.81,20,1.0,9539000.0
1.0,41.81,12,1.0,9352000.0
1.0,32.5,17,1.0,7853000.0
2.0,64.83,11,1.0,13225000.0
1.0,41.81,16,1.0,9352000.0
1.0,47.21,16,1.0,9885000.0
2.0,65.67,16,1.0,13265000.0
2.0,56.43,18,1.0,12746000.0
2.0,65.07,13,1.0,13938000.0
2.0,64.48,18,1.0,13154000.0
1.0,41.81,13,1.0,9444000.0
2.0,52.11,17,1.0,11771000.0
2.0,65.67,4,1.0,13134000.0
,39.66,8,1.0,8778000.0
