,cluster,dimension,"mean fit predict time, s",best ari,best ami,best fmi
0,SelfWritedKMeans,785,0.05590533399998776,0.0,0.0,0.32025630761017426
1,SelfWritedKMeans,20,0.005652791000017032,0.0,0.0,0.33561490228737256
2,SelfWritedKMeans,50,0.006143916000013405,0.0,0.0,0.3358876491038526
3,SelfWritedKMeans,100,0.005354500000009921,0.0,0.0,0.32025630761017426
0,KMeans,785,0.03877850000000649,0.0,0.0,0.3317729043687264
1,KMeans,20,0.002526541999998244,0.0,0.0,0.3112658781274409
2,KMeans,50,0.0032218750000083674,0.0,0.0,0.333699432656562
3,KMeans,100,0.012581500000010237,0.0,0.0,0.3317729043687264
0,DBSCAN,785,0.033505208000008224,1.0,1.0,1.0
1,DBSCAN,20,0.0015352919999997994,1.0,1.0,1.0
2,DBSCAN,50,0.002971790999993118,1.0,1.0,1.0
3,DBSCAN,100,0.004746625000024096,1.0,1.0,1.0
0,SelfWritedKMeans,785,0.034934666999987485,0.0,0.0,0.32025630761017426
1,SelfWritedKMeans,20,0.0012557500000127675,0.0,0.0,0.33479532865306244
2,SelfWritedKMeans,50,0.0019344579999938105,0.0,0.0,0.3358876491038526
3,SelfWritedKMeans,100,0.002358333000017865,0.0,0.0,0.32025630761017426
0,KMeans,785,0.006028584000006276,0.0,0.0,0.3317729043687264
1,KMeans,20,0.0013702500000078999,0.0,0.0,0.3112658781274409
2,KMeans,50,0.00134958300000676,0.0,0.0,0.333699432656562
3,KMeans,100,0.0029224580000004607,0.0,0.0,0.3317729043687264
0,DBSCAN,785,0.02500304200000869,1.0,1.0,1.0
1,DBSCAN,20,0.0006225840000126937,1.0,1.0,1.0
2,DBSCAN,50,0.0004376660000104948,1.0,1.0,1.0
3,DBSCAN,100,0.0005025830000136011,1.0,1.0,1.0
